count_location,ROAD_CLASS,TRAFFCTL,num_of_collisions,total_traffic,average_int_width,years,r
BATHURST ST AT COLLEGE ST (PX 300),Major Arterial,No Control,18,20083.944444444445,0.015,11,1.4881499190337932
JANE ST AT ST JOHNS RD (PX 523),Major Arterial,Traffic Signal,3,11620.0,0.015,11,0.42868503010440623
CHURCH ST AT GOULD ST (PX 993),Minor Arterial,Traffic Signal,10,9440.0,0.015,11,1.7589406955555087
CHARLES ST E AT CHURCH ST (PX 225),Minor Arterial,No Control,2,11585.0,0.015,11,0.28665343402751836
KING ST E AT PRINCESS ST,Major Arterial,No Control,11,5304.0,0.015,11,3.443597319503847
MOORE AVE AT MOUNT PLEASANT RD (PX 135),Major Arterial,Traffic Signal,3,21166.0,0.015,11,0.2353453675618067
QUEEN ST W AT UNIVERSITY AVE (PX 80),Major Arterial,Traffic Signal,17,21779.764705882353,0.015,11,1.2960415625909414
DUFFERIN ST AT ST CLAIR AVE W,Major Arterial,No Control,17,17770.29411764706,0.015,11,1.5884644393276008
COUGAR CRT AT LUELLA ST & MARKHAM RD (PX 990),Major Arterial,No Control,9,12479.0,0.015,11,1.1975286601041433
MURISON BLVD AT SHEPPARD AVE E,Major Arterial,Traffic Signal,2,8689.0,0.015,11,0.3821935819091725
EGLINTON AVE W AT RENFORTH DR (PX 926),Major Arterial,No Control,6,25597.666666666668,0.015,11,0.38920110295051896
ATOMIC AVE AT NORTH QUEEN ST,Minor Arterial,No Control,4,8296.0,0.015,11,0.8005978865016394
DUNDAS ST W AT HURON ST,Major Arterial,Traffic Signal,8,7769.0,0.015,11,1.7098108035571118
COLLEGE ST AT DOVERCOURT RD,Major Arterial,Traffic Signal,3,13578.0,0.015,11,0.36686699438895276
DUNDAS ST E AT SHERBOURNE ST (PX 258),Major Arterial,No Control,19,10705.21052631579,0.015,11,2.947009798446347
LANYARD RD AT WESTON RD (PX 1096),Major Arterial,Traffic Signal,9,16532.0,0.015,11,0.9039414559302928
LAWRENCE AVE W AT VARNA DR,Major Arterial,Traffic Signal,8,18765.0,0.015,11,0.7078880966072583
SHEPPARD AVE AT WESTON RD (PX 588),Major Arterial,Traffic Signal,7,19788.0,0.015,11,0.5873802363164948
JARVIS ST AT WELLESLEY ST E (PX 11),Major Arterial,Traffic Signal,6,16558.0,0.015,11,0.6016813685002054
REVCOE DR AT WILLOWDALE AVE,Minor Arterial,No Control,3,7952.0,0.015,11,0.6264235475117205
MCNICOLL AVE AT TAPSCOTT RD (PX 2043),Minor Arterial,No Control,3,10607.0,0.015,11,0.4696257235611578
HIGHVIEW AVE AT LEXFIELD AVE & WILSON AVE (PX 815),Major Arterial,Traffic Signal,5,16138.6,0.015,11,0.5144312445331071
CARRIER DR AT HIGHWAY 27 (PX 1159),Major Arterial,No Control,12,16988.0,0.015,11,1.172903237535484
BAY ST AT DUNDAS ST W,Major Arterial,No Control,10,14615.0,0.015,11,1.1361204355828944
HIGHWAY 401 S TCS AT MARKHAM RD (PX 970),Major Arterial,No Control,7,33685.28571428572,0.015,11,0.34504917710410055
BATHURST ST AT DUPONT ST (PX 305),Major Arterial,Traffic Signal,7,21593.571428571428,0.015,11,0.5382657590791943
DANFORTH AVE AT EAST LYNN AVE & WOODMOUNT AVE (PX 1281),Major Arterial,No Control,4,11402.0,0.015,11,0.5825083376966849
BERGAMOT AVE AT REXDALE BLVD (PX 718),Major Arterial,Traffic Signal,8,12727.25,0.015,11,1.043707017056725
ALLEN AVE AT QUEENS AVE,Local,Stop Sign,2,404.0,0.015,11,8.2200000822
